damcode,Day,Model,Training Method,NSE,KGE,RMSE,PBIAS
1003110,4,transformer,onlypre,0.5849284251412632,0.6070925751317962,227.77985232097117,31.590634621131876
1003110,4,transformer,fine,0.6450379234522021,0.7868697936522502,210.64191229118538,2.411792149524409
1003110,5,lstm,nopre,0.7169038972914167,0.7583804342236087,188.11219109704433,-9.24785183461087
1003110,5,lstm,onlypre,0.7662826128131108,0.8450940094603102,170.92103263971876,-7.628401233282834
1003110,5,lstm,fine,0.5209253313596054,0.6635208212095298,244.70993443908222,-8.402636763590763
1003110,5,transformer,nopre,0.5734874380200232,0.7455724423954116,230.89573460866515,13.081788330250253
1003110,5,transformer,onlypre,0.632517655044335,0.6916907417331526,214.32273179757047,23.981614810637875
1003110,5,transformer,fine,0.6582882009651264,0.7689754028253994,206.67121096752857,2.4481969678474687
1003110,6,lstm,nopre,0.7184872441250222,0.7537335639460937,187.58498375401942,-9.23182074820767
1003110,6,lstm,onlypre,0.7683427249183057,0.8357061157963547,170.16569138613755,-8.81088790351069
1003110,6,lstm,fine,0.5283108156517904,0.6672095273411804,242.8158263286769,-8.826678296542775
1003110,6,transformer,nopre,0.5563929017223517,0.7319528488427565,235.4768807214328,10.831719779157874
1003110,6,transformer,onlypre,0.7477705811867883,0.8393708178449533,177.5607212386936,3.921077227354498
1003110,6,transformer,fine,0.6584670676468647,0.7845666338341648,206.61665405023098,10.404709423134348
1003110,7,lstm,nopre,0.7183427487036298,0.7558933963342471,187.63382628489856,-9.124611928923494
1003110,7,lstm,onlypre,0.7710172004949383,0.8261147447360997,169.18119838063214,-9.767392138775046
1003110,7,lstm,fine,0.5348087306693068,0.6704655135947348,241.13843847397962,-9.098251199625738
1003110,7,transformer,nopre,0.5907731189198908,0.7513989163016507,226.16882585910554,6.958985204595885
1003110,7,transformer,onlypre,0.7233756172424844,0.8074457896924753,185.94987704281544,9.487620297841323
1003110,7,transformer,fine,0.6510269649547689,0.7764931201447524,208.8558296153982,13.624810494400567
1006110,1,lstm,nopre,0.6197048657282851,0.6853614524215971,11.31512360834623,4.093436123478278
1006110,1,lstm,onlypre,0.6368797611808763,0.7359120666897567,11.056664861556499,10.296186547216541
1006110,1,lstm,fine,0.6099794581034028,0.6443121156581223,11.458892862317828,-20.408486159391696
1006110,1,transformer,nopre,0.4934622895389913,0.7436636229702647,13.058846281461465,5.699723726070716
1006110,1,transformer,onlypre,0.6981667804699371,0.7070201568434769,10.080508410504011,24.82737814224761
1006110,1,transformer,fine,0.7252311592740595,0.6686265412804842,9.6179531869989,8.763685109185277
1006110,2,lstm,nopre,0.5488061364863761,0.7022438083889491,12.324737110177324,6.968488540539404
1006110,2,lstm,onlypre,0.5880664324145808,0.710313424155224,11.776321776085487,-16.12359042332495
1006110,2,lstm,fine,0.5213918548488343,0.5471114777858446,12.693638177522912,-29.06708445598057
1006110,2,transformer,nopre,0.21318135576805097,0.6079434301300972,16.275464547187216,14.49843990078534
1006110,2,transformer,onlypre,0.6451430485036815,0.7062895213128996,10.93006465350888,18.634289541602364
1006110,2,transformer,fine,0.6531045367952856,0.6366188682355944,10.806756905834543,9.275221223655672
1006110,3,lstm,nopre,0.4837486450059575,0.6425382617928252,13.183353839569257,9.000354353927097
1006110,3,lstm,onlypre,0.5835691882569718,0.7421881774527928,11.840409811375128,-1.841865003233942
1006110,3,lstm,fine,0.4868210813036269,0.5253756270647083,13.144065360989913,-29.91148296037398
1006110,3,transformer,nopre,0.22063987139365093,0.6275229838990359,16.19811202967885,3.93194350734952
1006110,3,transformer,onlypre,0.5976236865590647,0.6840874486702049,11.638888562808528,22.20410423687446
1006110,3,transformer,fine,0.634427868302756,0.653827919349748,11.093838695865909,5.742726725774629
1006110,4,lstm,nopre,0.4648635202393635,0.6165975348581191,13.422352460104376,14.334053110837708
1006110,4,lstm,onlypre,0.590464230006462,0.7394305095390502,11.742005521256447,1.3399840145562567
1006110,4,lstm,fine,0.4746124164976393,0.5050633586431672,13.299529054495517,-30.68977397382523
1006110,4,transformer,nopre,0.15400010602393643,0.6110922546756291,16.876466219278186,-2.0094286854351586
1006110,4,transformer,onlypre,0.6301562803427858,0.6943724691704332,11.158491431915385,22.07440990323542
