date,inflow_avg,inflow_min,inflow_max
1996-06,57.72,0.20,330.80
1996-07,320.66,31.00,2737.40
1996-08,44.29,12.70,133.10
1996-09,14.13,4.70,41.20
1996-10,7.45,0.90,15.80
1996-11,8.45,0.50,18.60
1996-12,5.76,0.90,11.90
1997-01,3.19,0.20,7.70
1997-02,3.70,0.20,25.50
1997-03,30.94,19.10,58.20
1997-04,38.02,12.60,91.40
1997-05,204.30,4.70,1023.50
1997-06,103.28,14.90,564.40
1997-07,186.38,21.00,908.90
1997-08,41.35,10.80,161.90
1997-09,74.68,19.10,598.20
1997-10,18.50,1.60,45.20
1997-11,31.52,8.00,183.30
1997-12,43.09,14.60,134.30
1998-01,13.24,6.10,21.40
1998-02,16.76,4.10,30.80
1998-03,35.58,16.90,108.40
1998-04,91.64,44.50,194.00
1998-05,69.83,8.70,392.10
1998-06,59.05,6.10,341.40
1998-07,244.17,80.80,669.20
1998-08,437.76,56.10,1588.00
1998-09,34.58,14.50,106.00
1998-10,58.23,14.50,502.90
1998-11,23.51,10.70,47.90
1998-12,13.70,6.80,24.40
1999-01,7.65,0.90,15.00
1999-02,6.11,1.10,9.30
1999-03,13.54,3.90,48.30
1999-04,74.67,18.90,303.60
1999-05,36.95,10.90,149.80
1999-06,19.47,5.40,62.80
1999-07,64.75,0.30,466.60
1999-08,528.50,34.50,4665.30
1999-09,287.62,31.40,2458.10
1999-10,55.01,21.70,131.80
1999-11,42.21,4.70,132.60
1999-12,14.80,6.90,22.20
2000-01,14.91,5.30,30.60
2000-02,7.85,0.80,16.20
2000-03,11.85,2.20,25.50
2000-04,17.66,7.10,33.80
2000-05,38.60,15.30,119.30
2000-06,15.69,0.50,85.40
2000-07,53.28,4.10,393.20
2000-08,302.21,30.30,1853.40
2000-09,218.99,28.00,1153.60
2000-10,16.29,0.50,32.70
2000-11,6.26,0.30,18.10
2000-12,3.84,0.00,12.30
2001-01,5.47,0.00,41.00
2001-02,5.01,0.00,12.90
2001-03,37.31,4.40,105.20
2001-04,27.58,1.60,69.10
2001-05,4.78,0.00,21.30
2001-06,20.08,0.00,326.50
2001-07,246.49,11.90,1656.80
2001-08,116.33,7.70,1079.60
2001-09,21.27,3.50,125.00
2001-10,43.71,6.20,262.20
2001-11,8.53,0.00,16.00
2001-12,3.14,0.00,8.90
2002-01,12.15,0.00,56.10
2002-02,7.27,1.30,15.20
2002-03,12.67,0.00,37.30
2002-04,41.16,5.50,348.70
2002-05,59.01,3.10,329.10
2002-06,13.19,0.00,45.90
2002-07,124.95,3.20,470.40
2002-08,338.83,31.60,3449.60
2002-09,168.09,0.00,2871.50
2002-10,19.05,1.30,43.60
2002-11,8.48,0.60,16.20
2002-12,7.20,0.00,18.30
2003-01,7.47,0.60,21.90
2003-02,5.53,0.10,17.10
2003-03,39.04,3.50,109.70
2003-04,119.01,54.40,328.70
2003-05,100.16,5.90,772.20
2003-06,17.84,0.30,145.00
2003-07,176.57,22.10,1792.50
2003-08,403.75,41.50,2531.00
2003-09,345.24,37.70,1659.40
2003-10,20.47,0.20,41.20
2003-11,38.29,6.30,127.30
2003-12,15.43,2.16,45.90
2004-01,3.80,0.40,11.10
2004-02,15.92,0.10,111.20
2004-03,16.03,6.90,36.10
2004-04,39.03,8.20,203.70
2004-05,63.90,28.00,223.80
2004-06,56.72,2.80,307.00
2004-07,442.06,26.10,2810.00
2004-08,158.06,5.80,1669.40
2004-09,135.44,22.30,606.20
2004-10,19.88,7.40,44.90
2004-11,9.79,0.70,20.30
2004-12,5.97,0.10,20.60
2005-01,1.65,0.00,9.02
2005-02,2.43,0.07,11.36
2005-03,21.23,0.10,79.58
2005-04,75.33,26.64,402.90
2005-05,31.82,9.04,84.55
2005-06,61.99,0.07,832.80
2005-07,167.01,24.94,494.59
2005-08,185.06,66.52,479.49
2005-09,133.91,46.57,400.54
2005-10,52.72,12.40,257.64
2005-11,16.73,2.02,49.70
2005-12,2.77,0.00,13.36
2006-01,6.12,0.00,16.94
2006-02,6.23,1.27,11.88
2006-03,9.40,0.87,15.88
2006-04,62.33,12.62,274.92
2006-05,62.14,12.76,375.06
2006-06,66.66,6.06,587.01
2006-07,756.20,61.50,4208.17
2006-08,48.42,13.00,151.22
2006-09,18.79,6.28,78.18
2006-10,53.73,1.77,731.38
2006-11,30.87,6.06,94.64
2006-12,13.80,1.29,27.97
2007-01,5.95,0.81,14.64
2007-02,6.39,0.05,14.03
2007-03,42.72,10.68,211.39
2007-04,47.98,22.92,133.22
2007-05,53.24,7.94,190.09
2007-06,10.54,0.00,29.20
2007-07,91.30,19.62,416.14
2007-08,341.75,28.25,2774.79
2007-09,264.55,58.81,1114.42
2007-10,29.93,10.92,73.59
2007-11,8.94,1.57,20.15
2007-12,5.08,0.03,12.86
2008-01,2.72,0.00,7.52
2008-02,1.52,0.00,5.09
2008-03,25.42,0.23,146.27
2008-04,28.19,3.74,46.61
2008-05,17.14,0.00,81.24
2008-06,28.65,8.31,90.70
2008-07,296.59,15.25,2307.61
2008-08,222.93,48.89,1416.95
2008-09,54.71,0.60,343.94
2008-10,8.46,0.75,21.25
2008-11,4.80,0.57,12.61
2008-12,4.47,0.00,13.44
2009-01,1.30,0.00,7.36
2009-02,12.38,0.58,104.76
2009-03,18.30,3.43,66.27
2009-04,40.57,8.55,120.03
2009-05,37.70,8.30,98.91
2009-06,81.90,15.38,633.08
2009-07,462.11,21.22,2308.13
2009-08,177.56,14.84,2477.39
2009-09,19.38,8.37,47.33
2009-10,8.73,4.86,17.01
2009-11,26.83,10.19,55.95
2009-12,7.26,0.00,16.66
2010-01,4.69,0.00,14.23
2010-02,15.75,0.64,159.39
2010-03,47.16,14.69,223.80
2010-04,59.09,27.21,161.08
2010-05,88.27,18.20,319.67
2010-06,19.00,3.46,42.55
2010-07,48.17,5.26,233.70
2010-08,235.09,23.39,1659.36
2010-09,328.65,46.65,2210.55
2010-10,31.38,4.73,103.89
2010-11,11.82,0.21,30.98
2010-12,6.39,0.00,19.13
2011-01,2.48,0.00,9.15
2011-02,5.09,0.00,40.11
2011-03,11.57,1.73,22.11
2011-04,46.88,12.66,217.92
2011-05,130.84,16.68,825.02
2011-06,213.69,5.56,1604.95
2011-07,656.46,97.60,3042.18
2011-08,118.38,25.55,393.64
2011-09,26.06,11.13,69.03
2011-10,11.36,4.99,24.75
2011-11,13.24,3.27,49.88
2011-12,13.12,2.43,31.98
2012-01,5.11,0.27,15.28
2012-02,2.93,0.00,5.45
2012-03,15.39,1.45,80.24
2012-04,101.27,44.63,216.08
2012-05,21.46,1.13,58.96
2012-06,9.22,0.00,62.63
2012-07,149.25,18.47,629.37
2012-08,156.48,12.76,742.51
2012-09,138.55,36.07,628.17
2012-10,23.79,8.28,56.98
2012-11,32.92,9.19,92.85
2012-12,14.28,3.35,27.57
2013-01,9.20,2.65,19.84
2013-02,24.50,4.23,105.54
2013-03,56.83,17.08,121.94
2013-04,51.81,30.26,75.41
2013-05,39.06,14.91,77.36
2013-06,21.39,9.44,48.74
2013-07,500.51,22.92,3191.43
2013-08,77.23,23.54,171.82
2013-09,59.19,9.67,295.46
2013-10,25.95,3.76,66.51
2013-11,13.55,4.16,35.85
2013-12,11.84,4.39,22.34
2014-01,7.91,2.23,14.58
2014-02,9.78,2.20,24.06
